[2021-08-02 20:29:25.593150] PING 172.16.0.2 (172.16.0.2) 56(84) bytes of data.
[2021-08-02 20:29:57.467284] 64 bytes from 172.16.0.2: icmp_seq=735 ttl=64 time=16.1 ms
[2021-08-02 20:29:57.669231] 64 bytes from 172.16.0.2: icmp_seq=736 ttl=64 time=17.6 ms
[2021-08-02 20:29:57.870968] 64 bytes from 172.16.0.2: icmp_seq=737 ttl=64 time=18.4 ms
[2021-08-02 20:29:58.072539] 64 bytes from 172.16.0.2: icmp_seq=738 ttl=64 time=19.3 ms
[2021-08-02 20:29:58.271068] 64 bytes from 172.16.0.2: icmp_seq=739 ttl=64 time=17.3 ms
[2021-08-02 20:29:58.470303] 64 bytes from 172.16.0.2: icmp_seq=740 ttl=64 time=15.9 ms
[2021-08-02 20:29:58.686288] 64 bytes from 172.16.0.2: icmp_seq=741 ttl=64 time=30.7 ms
[2021-08-02 20:29:58.872226] 64 bytes from 172.16.0.2: icmp_seq=742 ttl=64 time=15.8 ms
[2021-08-02 20:29:59.080361] 64 bytes from 172.16.0.2: icmp_seq=743 ttl=64 time=22.9 ms
[2021-08-02 20:29:59.280742] 64 bytes from 172.16.0.2: icmp_seq=744 ttl=64 time=23.2 ms
[2021-08-02 20:29:59.486662] 64 bytes from 172.16.0.2: icmp_seq=745 ttl=64 time=28.6 ms
[2021-08-02 20:29:59.680494] 64 bytes from 172.16.0.2: icmp_seq=746 ttl=64 time=21.5 ms
[2021-08-02 20:29:59.876628] 64 bytes from 172.16.0.2: icmp_seq=747 ttl=64 time=16.9 ms
[2021-08-02 20:30:00.085243] 64 bytes from 172.16.0.2: icmp_seq=748 ttl=64 time=25.4 ms
[2021-08-02 20:30:00.284120] 64 bytes from 172.16.0.2: icmp_seq=749 ttl=64 time=23.6 ms
[2021-08-02 20:30:00.479718] 64 bytes from 172.16.0.2: icmp_seq=750 ttl=64 time=18.3 ms
[2021-08-02 20:30:00.684918] 64 bytes from 172.16.0.2: icmp_seq=751 ttl=64 time=23.1 ms
[2021-08-02 20:30:00.881024] 64 bytes from 172.16.0.2: icmp_seq=752 ttl=64 time=18.8 ms
[2021-08-02 20:30:01.080895] 64 bytes from 172.16.0.2: icmp_seq=753 ttl=64 time=17.7 ms
[2021-08-02 20:30:01.285262] 64 bytes from 172.16.0.2: icmp_seq=754 ttl=64 time=21.2 ms
[2021-08-02 20:30:01.481547] 64 bytes from 172.16.0.2: icmp_seq=755 ttl=64 time=16.9 ms
[2021-08-02 20:30:01.683069] 64 bytes from 172.16.0.2: icmp_seq=756 ttl=64 time=18.2 ms
[2021-08-02 20:30:01.883195] 64 bytes from 172.16.0.2: icmp_seq=757 ttl=64 time=17.8 ms
[2021-08-02 20:30:02.087664] 64 bytes from 172.16.0.2: icmp_seq=758 ttl=64 time=21.2 ms
[2021-08-02 20:30:02.286568] 64 bytes from 172.16.0.2: icmp_seq=759 ttl=64 time=19.5 ms
[2021-08-02 20:30:02.488529] 64 bytes from 172.16.0.2: icmp_seq=760 ttl=64 time=20.6 ms
